n,win_pct,total_$,avg_$,sharpe_d,max_dd_$,n_days,tag,dte,conviction_min,theta_protect_mins,stop_pct,target_pct
79,84.81012658227847,14460.428269252232,183.0433958133194,13.196409384455533,-120.80328567900938,77,combined dte=3 conv=0.65,3,0.65,0,,
77,85.71428571428571,14445.787354359236,187.60762797869137,14.684048778574663,-89.8414844588657,77,dte=7 conv=0.65,7,0.65,0,,
77,85.71428571428571,14445.787354359236,187.60762797869137,14.684048778574663,-89.8414844588657,77,combined dte=7 conv=0.65,7,0.65,0,,
111,78.37837837837837,14430.349939239995,130.00315260576573,9.36417231004742,-432.75501529128087,106,combined dte=3 conv=0.60,3,0.6,0,,
106,83.9622641509434,14410.039709416993,135.94377084355654,10.772960654506473,-424.98643157204606,106,dte=7 conv=0.60,7,0.6,0,,
106,83.9622641509434,14410.039709416993,135.94377084355654,10.772960654506473,-424.98643157204606,106,combined dte=7 conv=0.60,7,0.6,0,,
122,78.68852459016394,14278.144169851777,117.03396860534244,9.175818913075153,-584.7660240130244,112,narrow dte=7 stop=30 tgt=60,7,0.55,0,0.3,0.6
144,70.83333333333334,13465.056159455928,93.50733444066617,8.622689806008774,-695.4010425132728,113,narrow dte=3 stop=30 tgt=60,3,0.55,0,0.3,0.6
112,77.67857142857143,12819.465723668345,114.45951538989594,8.849197909221086,-576.3197841079764,112,dte=7 conv=0.55 theta=default,7,0.55,0,,
118,72.03389830508475,12570.656840837784,106.53099017659139,7.555556174500907,-659.4680824719962,112,dte=3 conv=0.55 theta=default,3,0.55,0,,
139,58.27338129496403,11105.231796333119,79.8937539304541,6.326116971523521,-914.0074063802986,114,dte=1 conv=0.55 theta=default,1,0.55,0,,
34,88.23529411764706,7201.278912512459,211.8023209562488,13.378204317581217,-48.62850854849239,34,dte=7 conv=0.70,7,0.7,0,,
1120,40.982142857142854,6303.166897606152,5.62782758714835,3.233218986849042,-2419.360440051815,114,dte=0 conv=0.55 theta=90,0,0.55,90,,
212,46.22641509433962,5953.393101057109,28.082042929514664,3.06221384767834,-1803.0860460471213,114,dte=0 conv=0.55 theta=0,0,0.55,0,,
414,42.51207729468599,5937.841664092554,14.342612715199406,2.9342673380430266,-1954.105684889988,114,dte=0 conv=0.55 theta=30,0,0.55,30,,
662,40.483383685800604,5815.831695142786,8.785244252481549,2.9035849848678814,-2160.3383638133837,114,dte=0 conv=0.55 theta=default,0,0.55,60,,
