n,win_pct,total_$,avg_$,sharpe_d,max_dd_$,n_days,tag,params
2098,85.65300285986655,333375.88449999626,158.90175619637571,11.426364586283155,-7157.227560695726,112,E combined: multi=20 + ITM + conv-weight aggressive,"{'dte': 7, 'conviction_min': 0.55, 'theta_protect_mins': 0, 'moneyness': 'itm', 'itm_offset_pct': 0.005, 'risk_pct': 0.01, 'risk_pct_max': 0.06, 'conviction_lo': 0.55, 'conviction_hi': 0.75, 'max_concurrent': 20}"
2106,84.23551756885091,294039.76240865,139.62002013706078,10.920643436586378,-6697.138124008052,112,E combined: multi=20 + ATM + conv-weight aggressive,"{'dte': 7, 'conviction_min': 0.55, 'theta_protect_mins': 0, 'risk_pct': 0.01, 'risk_pct_max': 0.06, 'conviction_lo': 0.55, 'conviction_hi': 0.75, 'max_concurrent': 20}"
2106,84.23551756885091,290278.3335401913,137.8339665433007,10.8809741167232,-6697.138124008052,112,C multi=20 pos    7DTE p≥0.55 risk=2%,"{'dte': 7, 'conviction_min': 0.55, 'theta_protect_mins': 0, 'risk_pct': 0.02, 'max_concurrent': 20}"
1086,84.34622467771639,166001.2371039832,152.85565110864016,11.093459882181811,-3960.5781169143447,112,E combined: multi=10 + ITM + conv-weight,"{'dte': 7, 'conviction_min': 0.55, 'theta_protect_mins': 0, 'moneyness': 'itm', 'itm_offset_pct': 0.005, 'risk_pct': 0.005, 'risk_pct_max': 0.04, 'conviction_lo': 0.55, 'conviction_hi': 0.75, 'max_concurrent': 10}"
1092,82.5091575091575,144265.00195258931,132.11080764889132,10.482594552393522,-3702.740108543934,112,C multi=10 pos    7DTE p≥0.55 risk=2%,"{'dte': 7, 'conviction_min': 0.55, 'theta_protect_mins': 0, 'risk_pct': 0.02, 'max_concurrent': 10}"
557,81.86714542190305,71382.55001146047,128.15538601698466,10.420318955036054,-1928.2058167711803,112,C multi=5 pos    7DTE p≥0.55 risk=2%,"{'dte': 7, 'conviction_min': 0.55, 'theta_protect_mins': 0, 'risk_pct': 0.02, 'max_concurrent': 5}"
336,81.54761904761905,42198.179001980294,125.58981845827468,10.190943048606124,-1153.538915239049,112,C multi=3 pos    7DTE p≥0.55 risk=2%,"{'dte': 7, 'conviction_min': 0.55, 'theta_protect_mins': 0, 'risk_pct': 0.02, 'max_concurrent': 3}"
77,85.71428571428571,16419.574928079674,213.24123283220356,14.90631017899428,-92.61455406903906,77,D ITM 0.5% strike risk=1%    7DTE p≥0.65,"{'dte': 7, 'conviction_min': 0.65, 'theta_protect_mins': 0, 'moneyness': 'itm', 'itm_offset_pct': 0.005, 'risk_pct': 0.01, 'max_concurrent': 1}"
77,85.71428571428571,16419.574928079674,213.24123283220356,14.90631017899428,-92.61455406903906,77,D ITM 0.5% strike risk=2%    7DTE p≥0.65,"{'dte': 7, 'conviction_min': 0.65, 'theta_protect_mins': 0, 'moneyness': 'itm', 'itm_offset_pct': 0.005, 'risk_pct': 0.02, 'max_concurrent': 1}"
77,85.71428571428571,16419.574928079674,213.24123283220356,14.90631017899428,-92.61455406903906,77,D ITM 0.5% strike risk=3%    7DTE p≥0.65,"{'dte': 7, 'conviction_min': 0.65, 'theta_protect_mins': 0, 'moneyness': 'itm', 'itm_offset_pct': 0.005, 'risk_pct': 0.03, 'max_concurrent': 1}"
112,77.67857142857143,15219.292805115534,135.88654290281727,8.544348574326623,-576.3197841079764,112,B conv-weighted 0.5%→8%    7DTE p≥0.55,"{'dte': 7, 'conviction_min': 0.55, 'theta_protect_mins': 0, 'risk_pct': 0.005, 'risk_pct_max': 0.08, 'conviction_lo': 0.55, 'conviction_hi': 0.75, 'max_concurrent': 1}"
77,85.71428571428571,15200.34290193199,197.40705067444142,15.052677192681971,-89.8414844588657,77,A scale risk=5.00%    7DTE p≥0.65,"{'dte': 7, 'conviction_min': 0.65, 'theta_protect_mins': 0, 'risk_pct': 0.05, 'max_concurrent': 1}"
77,85.71428571428571,14445.787354359236,187.60762797869137,14.684048778574663,-89.8414844588657,77,A scale risk=1.00%    7DTE p≥0.65,"{'dte': 7, 'conviction_min': 0.65, 'theta_protect_mins': 0, 'risk_pct': 0.01, 'max_concurrent': 1}"
77,85.71428571428571,14445.787354359236,187.60762797869137,14.684048778574663,-89.8414844588657,77,A scale risk=2.00%    7DTE p≥0.65,"{'dte': 7, 'conviction_min': 0.65, 'theta_protect_mins': 0, 'risk_pct': 0.02, 'max_concurrent': 1}"
77,85.71428571428571,14445.787354359236,187.60762797869137,14.684048778574663,-89.8414844588657,77,A scale risk=3.00%    7DTE p≥0.65,"{'dte': 7, 'conviction_min': 0.65, 'theta_protect_mins': 0, 'risk_pct': 0.03, 'max_concurrent': 1}"
77,85.71428571428571,14445.787354359236,187.60762797869137,14.684048778574663,-89.8414844588657,77,A scale risk=4.00%    7DTE p≥0.65,"{'dte': 7, 'conviction_min': 0.65, 'theta_protect_mins': 0, 'risk_pct': 0.04, 'max_concurrent': 1}"
112,77.67857142857143,12819.465723668345,114.45951538989594,8.849197909221086,-576.3197841079764,112,B conv-weighted 0.5%→2%    7DTE p≥0.55,"{'dte': 7, 'conviction_min': 0.55, 'theta_protect_mins': 0, 'risk_pct': 0.005, 'risk_pct_max': 0.02, 'conviction_lo': 0.55, 'conviction_hi': 0.75, 'max_concurrent': 1}"
112,77.67857142857143,12819.465723668345,114.45951538989594,8.849197909221086,-576.3197841079764,112,B conv-weighted 0.5%→4%    7DTE p≥0.55,"{'dte': 7, 'conviction_min': 0.55, 'theta_protect_mins': 0, 'risk_pct': 0.005, 'risk_pct_max': 0.04, 'conviction_lo': 0.55, 'conviction_hi': 0.75, 'max_concurrent': 1}"
112,77.67857142857143,12819.465723668345,114.45951538989594,8.849197909221086,-576.3197841079764,112,B conv-weighted 0.5%→6%    7DTE p≥0.55,"{'dte': 7, 'conviction_min': 0.55, 'theta_protect_mins': 0, 'risk_pct': 0.005, 'risk_pct_max': 0.06, 'conviction_lo': 0.55, 'conviction_hi': 0.75, 'max_concurrent': 1}"
