month,variant,n,win_pct,total_$,sharpe,max_dd_$,gross_loss_$
Dec 2025,BASELINE,178,74.15730337078652,21990.05289601338,10.639006329257311,-923.9989324606468,-2013.6415914404868
Dec 2025,ITM 1.5% + target 30%,201,79.60199004975125,34637.348287757486,13.483616581597435,-521.214994683145,-1951.8169454596873
Dec 2025,ITM 1% + target 30%,222,81.08108108108108,34953.25637402525,13.089476800660984,-575.8908912422521,-1962.2259197838775
Dec 2025,ITM 2%,178,79.7752808988764,35913.189978585804,12.51134368527588,-943.9927975039718,-1814.51004822213
Dec 2025,ITM 1.5%,178,78.65168539325843,32758.0288707711,12.144121213762023,-961.2318817369305,-1899.4925669415024
Dec 2025,ITM 1.5% + target 50%,185,77.29729729729729,35370.86738018584,11.618110234969187,-961.2318817369305,-1957.9404517143507
Jan 2026,BASELINE,195,91.28205128205128,15580.602250041818,18.76188234524197,0.0,-1101.459272480983
Jan 2026,ITM 1.5% + target 30%,205,94.14634146341463,31985.19977287513,25.849080184712204,0.0,-1371.6369542517975
Jan 2026,ITM 1% + target 30%,209,92.82296650717703,29864.94556934452,23.166831640846876,0.0,-1457.550598501948
Jan 2026,ITM 2%,195,96.41025641025641,27905.289312441942,25.202812043385954,0.0,-1067.6112054276132
Jan 2026,ITM 1.5%,195,95.8974358974359,25123.287101831975,23.8586161790941,0.0,-1034.9592717312153
Jan 2026,ITM 1.5% + target 50%,197,95.93908629441624,27264.61714967797,25.07201458969898,0.0,-1034.9592717312153
Feb 2026,BASELINE,183,81.4207650273224,26618.926661078847,9.188114135451094,-943.3334736381112,-2467.465756212187
Feb 2026,ITM 1.5% + target 30%,231,83.98268398268398,44107.43222644391,14.833358135950789,-246.15693009559254,-2816.2614139427264
Feb 2026,ITM 1% + target 30%,241,82.57261410788381,39833.3467227376,14.346059978332788,-314.2220483774581,-2809.7997728847777
Feb 2026,ITM 2%,183,85.24590163934425,40474.53744084048,11.209496215355651,-1081.9477927043336,-2632.4779722512694
Feb 2026,ITM 1.5%,183,84.69945355191257,37100.696227246175,10.763163649595045,-1064.4225403434684,-2606.3657961944305
Feb 2026,ITM 1.5% + target 50%,198,85.85858585858585,36644.787111106474,10.908760344503648,-1064.4225403434684,-2606.3657961944305
Mar 2026,BASELINE,238,69.32773109243698,33435.780721284624,9.331479962802138,-6143.488393333504,-9115.338886060848
Mar 2026,ITM 1.5% + target 30%,292,72.6027397260274,44515.587050389346,10.16292366329155,-6977.733505314594,-10792.469602485327
Mar 2026,ITM 1% + target 30%,295,71.52542372881356,40184.24818247779,9.898385021299227,-6715.418823855329,-10393.910982891455
Mar 2026,ITM 2%,238,73.94957983193278,46029.33181670639,10.027723737525106,-7187.066515932282,-10733.098322468439
Mar 2026,ITM 1.5%,238,73.94957983193278,42984.21982654125,9.86279934997875,-6977.733505314594,-10383.409029908242
Mar 2026,ITM 1.5% + target 50%,243,73.25102880658436,43494.599928073934,9.835464894813105,-6977.733505314594,-10512.574383990832
Apr 2026,BASELINE,225,96.44444444444444,27180.97282370418,16.912089303653918,0.0,-38.31955189003338
Apr 2026,ITM 1.5% + target 30%,254,96.06299212598425,49807.501264923194,18.189778061209893,0.0,-72.23022418204619
Apr 2026,ITM 1% + target 30%,269,96.6542750929368,45666.76048550767,17.51586792678526,0.0,-67.1003058442625
Apr 2026,ITM 2%,225,96.88888888888889,45551.92039638164,19.93039494790137,0.0,-42.15981005036048
Apr 2026,ITM 1.5%,225,96.88888888888889,41207.70479609248,19.37414375498189,0.0,-33.65322253258606
Apr 2026,ITM 1.5% + target 50%,225,96.88888888888889,41207.70479609248,19.37414375498189,0.0,-33.65322253258606
"May 2022 (bear, OOS)",BASELINE,243,87.24279835390946,44129.6149805507,10.543868216123675,0.0,-783.1557164124602
"May 2022 (bear, OOS)",ITM 1.5% + target 30%,314,86.30573248407643,45890.4201703557,23.20083031831814,0.0,-1873.181346550374
"May 2022 (bear, OOS)",ITM 1% + target 30%,324,81.17283950617285,41448.60477025816,22.985371332307047,0.0,-2697.8069988473944
"May 2022 (bear, OOS)",ITM 2%,225,95.55555555555556,41902.66639643107,14.039484399376908,0.0,-626.671597385016
"May 2022 (bear, OOS)",ITM 1.5%,225,92.88888888888889,39242.8288606384,13.483433344620753,0.0,-642.7406721239884
"May 2022 (bear, OOS)",ITM 1.5% + target 50%,256,90.234375,44438.29778748062,14.296848487944661,0.0,-811.2957294927081
"Sep 2022 (deep bear, OOS)",BASELINE,225,71.55555555555554,31225.390421659045,11.862370828209622,-816.2927171832735,-1953.8924380373737
"Sep 2022 (deep bear, OOS)",ITM 1.5% + target 30%,314,75.15923566878982,43480.93886168224,15.114229243376354,-839.7949008720379,-2456.247534073632
"Sep 2022 (deep bear, OOS)",ITM 1% + target 30%,325,74.15384615384616,40699.00835935665,14.873345098864396,-838.3938875784638,-2582.3410241482075
"Sep 2022 (deep bear, OOS)",ITM 2%,225,75.55555555555556,40982.349059196094,13.05026901704359,-835.9544041191039,-1869.1089424299432
"Sep 2022 (deep bear, OOS)",ITM 1.5%,225,75.55555555555556,38804.3154436946,12.790607428405508,-839.794900872037,-1897.9162154969567
"Sep 2022 (deep bear, OOS)",ITM 1.5% + target 50%,259,72.2007722007722,39317.4411721705,13.02279065272798,-839.7949008720379,-2445.7918241477037
