n,win_pct,total_$,avg_$,sharpe,max_dd_$,days,target_n,stop_n,theta_n,eod_n,data_end_n,month,variant
201,84.07960199004975,47380.45927382716,235.7236779792396,13.929151408129817,-206.74580885576142,14,56,0,0,145,0,2025-12,1_baseline_no_theta
220,95.0,50972.95615661965,231.69525525736205,23.902453660578097,0.0,13,44,0,0,176,0,2026-01,1_baseline_no_theta
270,90.37037037037037,76182.29394586859,282.1566442439577,19.750789238593683,0.0,13,109,0,0,161,0,2026-02,1_baseline_no_theta
380,80.78947368421052,87693.23036533111,230.7716588561345,14.036696695643762,-8359.478886976744,16,142,6,0,232,0,2026-03,1_baseline_no_theta
283,97.1731448763251,77005.01682987598,272.10253296775966,21.259152183563707,0.0,15,71,0,0,212,0,2026-04,1_baseline_no_theta
201,86.56716417910447,46174.73592609266,229.72505435866995,14.219094563182468,-1385.0766457509526,14,56,0,105,40,0,2025-12,2_live_replicate
220,90.9090909090909,42738.56572822831,194.26620785558322,16.713019914850523,0.0,13,44,0,127,49,0,2026-01,2_live_replicate
270,77.77777777777779,63025.78676345678,233.42883986465475,17.806297514433485,-795.7930624577493,13,106,0,138,26,0,2026-02,2_live_replicate
802,41.895261845386536,49521.094755359205,61.7470009418444,9.525487031180438,-9537.361622739052,16,118,0,670,14,0,2026-03,2_live_replicate
400,65.5,63857.04057439064,159.6426014359766,16.91597741463631,0.0,15,65,0,283,52,0,2026-04,2_live_replicate
201,84.07960199004975,47380.45927382716,235.7236779792396,13.929151408129817,-206.74580885576142,14,56,0,0,145,0,2025-12,3_opt_a_disable
220,95.0,50972.95615661965,231.69525525736205,23.902453660578097,0.0,13,44,0,0,176,0,2026-01,3_opt_a_disable
270,90.37037037037037,76182.29394586859,282.1566442439577,19.750789238593683,0.0,13,109,0,0,161,0,2026-02,3_opt_a_disable
380,80.78947368421052,87693.23036533111,230.7716588561345,14.036696695643762,-8359.478886976744,16,142,6,0,232,0,2026-03,3_opt_a_disable
283,97.1731448763251,77005.01682987598,272.10253296775966,21.259152183563707,0.0,15,71,0,0,212,0,2026-04,3_opt_a_disable
201,85.57213930348259,46292.26248024644,230.30976358331563,14.893532996336006,0.0,14,56,0,103,42,0,2025-12,4_opt_b_tight
220,92.27272727272727,50337.26416713635,228.80574621425615,21.9064736022719,0.0,13,44,0,99,77,0,2026-01,4_opt_b_tight
270,87.03703703703704,70942.28066308811,262.74918764106707,18.659240664532224,-250.04961866157828,13,109,0,123,38,0,2026-02,4_opt_b_tight
514,60.89494163424124,75430.51657125997,146.75197776509722,11.327228034001275,-11633.720640193918,16,142,6,317,49,0,2026-03,4_opt_b_tight
356,74.71910112359551,71597.68002791698,201.11707873010388,20.356635056394225,0.0,15,71,0,198,87,0,2026-04,4_opt_b_tight
201,75.62189054726367,45671.080988189766,227.21930839895407,13.141169036377486,-1883.1369971277745,14,56,0,49,96,0,2025-12,5_opt_c_breakeven
220,84.54545454545455,46915.97223892057,213.25441926782077,21.176960986197713,0.0,13,44,0,34,142,0,2026-01,5_opt_c_breakeven
270,72.5925925925926,66029.25697122718,244.5528035971377,18.807186357249943,-1059.446752308635,13,109,0,74,87,0,2026-02,5_opt_c_breakeven
738,41.32791327913279,72548.75717617577,98.30454901920837,12.462412702298552,-8544.48475212814,16,134,0,426,178,0,2026-03,5_opt_c_breakeven
338,74.2603550295858,73950.90725748542,218.78966644226455,21.56296845370127,0.0,15,71,0,83,184,0,2026-04,5_opt_c_breakeven
